coreid,mofid-v1,mofid-v2,LCD_(Å),PLD_(Å),LFPD_(Å),Density_(g/cm3),ASA_(A2),ASA_(m2/cm3),ASA_(m2/g),NASA_(A2),NASA_(m2/cm3),NASA_(m2/g),PV_(A3),VF,PV_(cm3/g),NAV_(A3),NPV_(cm3/g),structure_dimension,topology(SingleNodes),topology(AllNodes),catenation,dimension_by_topo,hall,number_spacegroup,Metal_Types,Has_OMS,OMS_Types,average_atomic_mass,Heat_capacity@300K_(J/g/K),Heat_capacity@350K_(J/g/K),Heat_capacity@400K_(J/g/K),natoms,Thermal_stability_(°C),Solvent_stability,Water_stability,KH_Classes,category
2016[Zn][nan]3[ASR]2,"Nn1c(nnc1c1ccncc1)c1ccncc1.[O-]C(=O)c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[Zn] MOFid-v1.ERROR,sql.cat1;ASINAT_ASR_pacman",unknown,9.77269,7.71665,9.75395,0.727417,1397.08,1866.26,2565.59,0.0,0.0,0.0,5063.55,0.6764,0.929866,0.0,0.0,3,mismatch,mismatch,2,3,-P 1,2,Zn,Yes,Zn,9.588362105,0.903638471,1.007646925,1.061612605,342,339.2,0.12272364,0.75,weak,weak&stable
2016[Zn][nan]3[ASR]22,[O-]C(=O)C1=C[N]N=C1.[O-]C(=O)[C]1C=NN=C1.[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn] MOFid-v1.unknown.cat0;OJEVIK_ASR_pacman,[Zn1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][NH0][N][=C][Ring1][Branch1].[O-1][C][=Branch1][C][=O][CH0][C][=N][N][=C][Ring1][Branch1].[O-1][C][=Branch1][C][=O][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1] MOFid-v2.UNKNOWN.cat0;OJEVIK_ASR_pacman,9.76901,9.08135,9.76267,0.802832,1162.99,2091.95,2605.71,0.0,0.0,0.0,4092.79,0.7362,0.917003,0.0,0.0,3,unknown,unknown,1,3,"P 32 2""",154,Zn,Yes,Zn,14.93158,0.750451409,0.83332956,0.895518629,180,368.4,0.6664799,0.548571429,weak,weak&stable
2016[Zn][nan]3[ASR]29,unknown,unknown,10.06648,6.4947,10.06648,0.726624,961.505,2194.14,3019.64,0.0,0.0,0.0,3199.85,0.7302,1.00492,0.0,0.0,3,unknown,unknown,1,2,-C 2yc,15,Zn,Yes,Zn,11.83627506,0.834732254,0.944650598,0.989832583,162,341.9,0.61207604,0.598571429,weak,weak&stable
2016[Zn][nan]3[FSR]2,"Nn1c(nnc1c1ccncc1)c1ccncc1.[O-]C(=O)c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[Zn] MOFid-v1.ERROR,sql.cat1;ASINAT_FSR_pacman",,9.26588,6.36716,9.06161,0.759845,1416.02,1891.54,2489.38,0.0,0.0,0.0,4930.3,0.6586,0.866756,0.0,0.0,3,mismatch,mismatch,2,3,-P 2ac 2ab,61,Zn,No,,9.359036612,0.924827034,1.026835277,1.078473929,366,322,0.7719525,0.78,weak,weak&stable
2016[Zn][nts]3[ASR]1,"O=C(Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Nc1cc(NC(=O)Nc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)NC(=O)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn][Zn] MOFid-v1.ERROR,ntt.cat0;ALEJIM_ASR_pacman","[C4O8Zn2_Type-1].[O][=C][Branch2][Ring1][Branch2][N][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1][N][C][=C][C][Branch2][Ring1][=N][N][C][=Branch1][C][=O][N][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1][=C][C][=Branch1][Branch1][=C][Ring2][Ring1][=Branch1][N][C][=Branch1][C][=O][N][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1] MOFid-v2.ERROR,ntt.cat0;ALEJIM_ASR_pacman",18.23365,7.12128,11.88163,0.592068,4618.28,2202.11,3719.35,0.0,0.0,0.0,16425.3,0.7832,1.32282,0.0,0.0,3,nts,ntt,1,3,-I 4,87,Zn,Yes,Zn,12.4622296,0.825208231,0.924076068,0.982376691,600,348.6,0.9184026,0.55,weak,weak&stable
2016[Zn][pcu]3[ASR]1,O=C(c1ccc(cc1)C(=O)Nc1ccncc1)Nc1ccncc1.[O-]C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[O-].[Zn] MOFid-v1.pcu.cat0;AWEXOR_ASR_pacman,[C4O8Zn2_Type-1].[O][=C][Branch2][Ring1][Branch2][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][=C][C][=N][C][=C][Ring1][=Branch1][N][C][=C][C][=N][C][=C][Ring1][=Branch1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.pcu.cat0;AWEXOR_ASR_pacman,6.83838,5.97627,6.80992,1.17466,581.347,1069.22,910.245,0.0,0.0,0.0,2716.37,0.4996,0.425316,0.0,0.0,3,pcu,pcu,3,2,-P 2ybc,14,Zn,Yes,Zn,10.22882979,0.903258828,1.02893602,1.088491444,376,353.2,0.93682945,0.758357143,weak,weak&stable
2016[Zn][pcu]3[ASR]2,O=C(c1ccncc1)Nc1ccc(cc1)NC(=O)c1ccncc1.[O-]C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[O-].[Zn] MOFid-v1.pcu.cat0;AWEXUX_ASR_pacman,[C4O8Zn2_Type-1].[O][=C][Branch1][=Branch2][C][=C][C][=N][C][=C][Ring1][=Branch1][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][=C][C][=N][C][=C][Ring1][=Branch1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.pcu.cat0;AWEXUX_ASR_pacman,6.83308,6.12106,6.83308,1.18929,566.424,1054.75,886.879,0.0,0.0,0.0,2752.77,0.5126,0.431015,0.0,0.0,3,pcu,pcu,3,3,-P 2ybc,14,Zn,Yes,Zn,10.22882979,0.905119191,1.035592322,1.089369586,376,351.3,0.931399,0.758357143,weak,weak&stable
2016[Zn][rtl]3[ASR]3,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn] MOFid-v1.rtl.cat0;UNAGOH_ASR_pacman,[C6O12Zn2_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1] MOFid-v2.rtl.cat0;UNAGOH_ASR_pacman,6.9583,6.04239,6.9583,0.981792,366.688,1988.97,2025.86,0.0,0.0,0.0,1208.3,0.6554,0.667555,0.0,0.0,3,rtl,rtl,1,3,P 2yb,4,Zn,Yes,Zn,14.34192211,0.784687045,0.877194246,0.929638628,76,343.5,0.5465746,0.7625,weak,weak&stable
2016[Zn][sra]3[ASR]3,"[O-]C(=O)c1ccc(cc1NC1=NC(=[N]=C([N]1)Nc1ccc(cc1)C(=O)[O-])Nc1cc(ccc1C(=O)[O-])C(=O)[O-])C(=O)[O-].[Zn] MOFid-v1.sra,unknown.cat0;URENAI_ASR_pacman",unknown,8.47123,7.55866,8.4534,0.752331,1318.11,2132.2,2834.12,0.0,0.0,0.0,4479.42,0.7246,0.963139,0.0,0.0,3,sra,unknown,1,3,P 2ac 2ab,19,Zn,Yes,Zn,12.28378281,0.820836989,0.911285033,0.984740282,228,365.7,0.7413786,0.81,weak,weak&stable
2016[Zn][sra]3[ASR]4,"[O-]C(=O)c1ccc(cc1NC1=NC(=[N]=C([N]1)Nc1ccc(cc1)C(=O)[O-])Nc1cc(ccc1C(=O)[O-])C(=O)[O-])C(=O)[O-].[Zn] MOFid-v1.sra,unknown.cat0;URENEM_ASR_pacman",unknown,8.53882,7.85329,8.53882,0.74811,1284.8,2066.66,2762.51,0.0,0.0,0.0,4522.1,0.7274,0.972317,0.0,0.0,3,sra,unknown,1,3,P 2ac 2ab,19,Zn,Yes,Zn,12.28378281,0.8216449,0.912900139,0.985826173,228,364.2,0.7236949,0.82,weak,weak&stable
2016[Zn][ssa]3[ASR]1,"Fc1cc(c2cc(cc(c2)C(=O)[O-])C(=O)[O-])c(c(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-])N.[Zn][Zn] MOFid-v1.ssa,sty.cat0;ATAYAX_ASR_pacman","[C4O8Zn2_Type-1].[F][C][=C][C][Branch2][Ring1][#Branch1][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1][=C][Branch2][Ring1][=C][C][=Branch1][Branch1][=C][Ring2][Ring1][C][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1][N] MOFid-v2.ssa,sty.cat0;ATAYAX_ASR_pacman",10.43104,5.86128,10.43104,0.781859,1740.51,2412.75,3085.91,0.0,0.0,0.0,5180.95,0.7182,0.91858,0.0,0.0,3,ssa,sty,1,3,-P 6c 2c,194,Zn,Yes,Zn,12.86534325,0.789089156,0.889885994,0.954084809,264,350.5,0.6486669,0.94,weak,weak&stable
2016[Zr][fcu]3[ASR]10,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.fcu.cat0;WIZMAV11_ASR_pacman,[C12O32Zr6_Type-2].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.fcu.cat0;WIZMAV11_ASR_pacman,12.97083,6.68744,12.97083,0.725791,1071.24,2212.12,3047.87,0.0,0.0,0.0,3599.04,0.7432,1.02399,1.93705,0.000551123,3,fcu,fcu,1,3,-F 4 2 3,225,Zr,No,,12.450616,0.77842442,0.858287709,0.922771611,170,356.3,0.45312592,0.859,weak,weak&stable
2016[Zr][fcu]3[ASR]11,[O-]C(=O)c1ccc(cc1)C#Cc1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.fcu.cat1;WUPTUY01_ASR_pacman,[C12O32Zr6_Type-2].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][#C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][#C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.fcu.cat1;WUPTUY01_ASR_pacman,19.34933,13.73291,19.34933,0.602417,1887.32,1196.39,1985.99,129.198,81.9002,135.953,12150.0,0.7702,1.27852,6.31003,0.000663992,3,fcu,fcu,2,3,F 4d 2 3 -1d,227,Zr,No,,11.2655011,0.86263009,0.971047366,1.019290295,508,391.7,0.9017952,0.957692308,weak,weak&stable
2016[Zr][fcu]3[ASR]2,[O-]C(=O)c1ccc(cc1)C#CC#Cc1ccc(cc1)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.fcu.cat0;UKIBIB_ASR_pacman,[C12O32Zr6_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][#C][C][#C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.fcu.cat0;UKIBIB_ASR_pacman,18.78159,10.32568,18.78159,0.429892,1702.71,1832.97,4263.8,0.0,0.0,0.0,7791.88,0.8388,1.95119,0.0,0.0,3,fcu,fcu,1,3,-F 4 2 3,225,Zr,No,,12.3961934,0.827539876,0.90303328,0.969413039,194,348.1,0.17486775,0.744,weak,weak&stable
2016[Zr][fcu]3[ASR]3,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.fcu.cat0;WIZMAV04_ASR_pacman,[C12O32Zr6_Type-2].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.fcu.cat0;WIZMAV04_ASR_pacman,12.99921,6.70448,12.99921,0.720043,1079.64,2211.79,3071.75,0.0,0.0,0.0,3633.62,0.7444,1.03383,1.95251,0.000555523,3,fcu,fcu,1,3,-F 4 2 3,225,Zr,No,,12.450616,0.777941583,0.85772254,0.920009293,170,356.3,0.4451719,0.859,weak,weak&stable
2016[Zr][fcu]3[ASR]4,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.fcu.cat0;WIZMAV05_ASR_pacman,[C12O32Zr6_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.fcu.cat0;WIZMAV05_ASR_pacman,13.01326,6.71946,13.01326,0.720769,1078.47,2211.64,3068.44,0.0,0.0,0.0,3628.01,0.744,1.03223,1.95054,0.000554963,3,fcu,fcu,1,2,-F 4 2 3,225,Zr,No,,12.450616,0.779045589,0.861314744,0.922800008,170,356.3,0.44625437,0.859,weak,weak&stable
2016[Zr][fcu]3[ASR]5,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.fcu.cat0;WIZMAV06_ASR_pacman,[C12O32Zr6_Type-2].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.fcu.cat0;WIZMAV06_ASR_pacman,12.97789,6.69842,12.97789,0.7246,1071.35,2208.71,3048.18,0.0,0.0,0.0,3602.04,0.7426,1.02484,1.94023,0.000552029,3,fcu,fcu,1,2,-F 4 2 3,225,Zr,No,,12.450616,0.780663679,0.859499972,0.924148182,170,356.3,0.4523986,0.859,weak,weak&stable
2016[Zr][fcu]3[ASR]6,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.fcu.cat0;WIZMAV07_ASR_pacman,[C12O32Zr6_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.fcu.cat0;WIZMAV07_ASR_pacman,12.91794,6.65577,12.91794,0.727847,1068.38,2212.45,3039.72,0.0,0.0,0.0,3579.21,0.7412,1.01835,1.93158,0.000549566,3,fcu,fcu,1,3,-F 4 2 3,225,Zr,No,,12.450616,0.788821219,0.85958398,0.92261557,170,356.4,0.45593902,0.859,weak,weak&stable
2016[Zr][fcu]3[ASR]7,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.fcu.cat0;WIZMAV08_ASR_pacman,[C12O32Zr6_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.fcu.cat0;WIZMAV08_ASR_pacman,12.93893,6.67363,12.93893,0.728365,1065.49,2208.04,3031.5,0.0,0.0,0.0,3574.73,0.7408,1.01707,1.9302,0.000549175,3,fcu,fcu,1,3,-F 4 2 3,225,Zr,No,,12.450616,0.780203633,0.85951195,0.922340535,170,356.3,0.46008974,0.859,weak,weak&stable
2016[Zr][fcu]3[ASR]8,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.fcu.cat0;WIZMAV09_ASR_pacman,[C12O32Zr6_Type-2].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.fcu.cat0;WIZMAV09_ASR_pacman,12.92959,6.66353,12.92959,0.728192,1066.61,2209.83,3034.67,0.0,0.0,0.0,3576.55,0.741,1.01759,1.93066,0.000549305,3,fcu,fcu,1,3,-F 4 2 3,225,Zr,No,,12.450616,0.780110082,0.858780221,0.923060316,170,356.3,0.45782858,0.859,weak,weak&stable
2016[Zr][fcu]3[ASR]9,unknown,[C12O32Zr6_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.fcu.cat0;WIZMAV10_ASR_pacman,12.93472,6.66389,12.93472,0.729299,1064.82,2209.48,3029.6,0.0,0.0,0.0,3573.05,0.7414,1.01659,2.8916,0.000822708,3,fcu,fcu,1,2,-F 4 2 3,225,Zr,No,,12.450616,0.777919024,0.856215199,0.916385634,170,356.3,0.45995912,0.859,weak,weak&stable
2017[Ag][sqc]3[ASR]1,unknown,[Ag2_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch2][Ring2][C][=C][Branch1][S][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.UNKNOWN.cat0;cs6b03404_si_003_ASR_pacman,10.03565,8.70295,10.01196,1.14094,895.549,1643.63,1440.59,0.0,0.0,0.0,3657.1,0.6712,0.588285,0.0,0.0,3,sqc483,sqc1390,1,3,-P 2ybc,14,Ag,Yes,Ag,16.13648345,0.619654067,0.697436179,0.736169554,232,392.2,0.971892,0.55,weak,weak&stable
2017[Cd][hcb]2[ASR]2,CC(C(=O)Nc1cc(ccc1C(=O)[O-])C(=O)[O-])O.[Cd] MOFid-v1.hcb.cat0;c7dt02697h2_2_ASR_pacman,unknown,11.50272,8.4606,11.50272,0.806632,424.178,1710.29,2120.28,0.0,0.0,0.0,1661.21,0.6698,0.830366,0.0,0.0,2,hcb,hcb,1,3,P 3,143,Cd,No,,9.63808336,0.946751315,1.063232613,1.152362518,125,275,0.943455,0.660045455,weak,weak&stable
2017[Cd][nan]2[ASR]2,unknown,unknown,12.6789,7.83204,12.6789,0.61972,1580.74,1892.68,3054.09,0.0,0.0,0.0,6325.7,0.7574,1.22216,0.0,0.0,2,mismatch,mismatch,2,3,-P 1,2,Cd,Yes,Cd,10.82259944,0.80598656,0.899728394,0.950923685,288,355.1,0.23957035,0.6,weak,weak&stable
2017[Cd][nan]3[ASR]4,unknown,[C3Cd2O6_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=Branch2][Ring1][#Branch1][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1].[C][N][=C][N][Branch1][Ring2][C][=Ring1][Branch1][C][=C][C][=Branch1][#C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][C][=N][C][=C][Ring1][Branch1][N][C][=N][C][=C][Ring1][Branch1] MOFid-v2.UNKNOWN.cat0;c7dt01306j2_2_ASR_pacman,7.11177,5.86116,7.09322,0.955031,1293.17,1985.36,2078.84,0.0,0.0,0.0,4085.28,0.6272,0.656733,0.0,0.0,3,unknown,unknown,1,3,P 2ac 2ab,19,Cd,Yes,Cd,11.28340217,0.793766995,0.882389479,0.93738944,332,350.9,0.7757227,0.87,weak,weak&stable
2017[Cd][pcu]3[ASR]2,[Cd].[O-]C(=O)c1ccc(cc1)C#CCN1CCN(CC#Cc2ccc(cc2)C(=O)[O-])CCN(CC1)CC#Cc1ccc(cc1)C(=O)O MOFid-v1.ERROR.cat1;BECKUS_ASR_pacman,[C3Cd1H1O6_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][#C][C][N][C][C][N][Branch2][Ring1][Ring1][C][C][#C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][C][N][Branch1][=Branch1][C][C][Ring2][Ring1][Branch1][C][C][#C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O] MOFid-v2.ERROR.cat1;BECKUS_ASR_pacman,8.40172,7.63114,8.39519,0.822542,1077.06,1867.88,2270.87,0.0,0.0,0.0,3751.51,0.6506,0.790963,0.0,0.0,3,pcu,pcu,2,3,-C 2yc,15,Cd,No,,9.273491429,0.939545262,1.052309174,1.162131775,308,350.2,0.94001293,0.7,weak,weak&stable
2017[Cd][sqc]3[ASR]1,NC1=N[N]C(=N1)N.NC1=[N]=C(N=N1)N.[Cd].[O-]C(=O)c1ccc(cc1)C(=O)[O-] MOFid-v1.ERROR.cat0;IBUBEP_ASR_pacman,unknown,7.04441,5.46747,7.04441,1.1789,1750.28,1928.47,1635.82,0.0,0.0,0.0,5699.72,0.628,0.5327,0.0,0.0,3,sqc7929,sqc7929,1,3,-I 2b 2c,73,Cd,No,,14.25541133,0.710995295,0.798009358,0.846507647,452,325.5,0.7051007,0.569762309,weak,weak&stable
2017[Cd][sql]2[ASR]11,[Cd].n1ccc(cc1)C=Cc1ccncc1 MOFid-v1.sql.cat1;RAWGEE_ASR_pacman,[Cd1_Type-1].[N][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=N][C][=C][Ring1][=Branch1] MOFid-v2.sql.cat1;RAWGEE_ASR_pacman,7.92355,6.25395,7.92102,0.78792,840.544,2090.93,2653.74,0.0,0.0,0.0,2726.33,0.6782,0.860748,0.0,0.0,2,sql,sql,2,3,P 2c -2n,33,Cd,Yes,Cd,9.731702041,0.829822243,0.907508731,0.945747008,196,388.8,0.2207681,0.58,weak,weak&stable
2017[Cd][sql]2[ASR]4,"Cl[Cd]Cl.n1ccc(cc1)c1ccc(cc1)C(=C(c1ccc(cc1)c1ccncc1)c1ccc(cc1)c1ccncc1)c1ccc(cc1)c1ccncc1 MOFid-v1.sql,bex.cat0;c7cc02139a2_1_ASR_pacman","[Cd1Cl2_Type-1].[N][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch2][Ring2][=Branch2][=C][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=N][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=N][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=N][C][=C][Ring1][=Branch1] MOFid-v2.sql,bex.cat0;c7cc02139a2_1_ASR_pacman",7.11368,5.92665,7.11368,0.898524,244.417,1604.83,1786.07,0.0,0.0,0.0,918.071,0.6028,0.670878,0.0,0.0,2,sql,sql,1,3,I 2 2,23,Cd,No,,9.695177412,0.869904133,0.967397214,0.998359475,85,356,0.119158804,0.627692308,weak,weak&stable
2017[Cd][sql]2[FSR]11,[Cd].n1ccc(cc1)C=Cc1ccncc1 MOFid-v1.sql.cat1;RAWGEE_FSR_pacman,,7.08178,5.71135,7.06906,1.11656,555.231,1381.19,1237.01,0.0,0.0,0.0,2295.39,0.571,0.511393,0.0,0.0,2,sql,sql,2,2,-R 3,148,Cd,No,,11.4534678,0.841095694,0.945757482,0.981936631,236,299.9,0.7185384,0.581538462,weak,weak&stable
2017[Co][afw]3[ASR]1,[Co].[O-]C(=O)C(=O)[O-].n1ccc(cc1)NNc1ccncc1 MOFid-v1.ERROR.cat1;GELQOG_ASR_pacman,[Co1_Type-1].[O-1][C][=Branch1][C][=O][C][=Branch1][C][=O][O-1].[N][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][N][C][=C][C][=N][C][=C][Ring1][=Branch1] MOFid-v2.ERROR.cat1;GELQOG_ASR_pacman,7.36971,6.57163,7.36971,1.29626,174.304,680.667,525.099,0.0,0.0,0.0,1211.76,0.4732,0.365049,0.0,0.0,3,afw,afw,2,3,"-R 3 2""c",167,Co,No,,10.74727081,0.909305855,1.040943109,1.089009124,186,239.9,0.9279435,0.570190476,weak,weak&stable
2017[Co][afw]3[ASR]2,unknown,[Co1_Type-1].[O-1][C][=Branch1][C][=O][C][=Branch1][C][=O][O-1].[N][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][N][C][=C][C][=N][C][=C][Ring1][=Branch1] MOFid-v2.ERROR.cat1;GELQOG01_ASR_pacman,7.35818,6.56584,7.35818,1.29626,173.89,679.052,523.853,0.0,0.0,0.0,1211.25,0.473,0.364895,0.0,0.0,3,afw,afw,2,3,"-R 3 2""c",167,Co,No,,10.74727081,0.907476136,1.040389746,1.089126942,186,240,0.927819,0.570190476,weak,weak&stable
